,Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,cleaned_post_body,sentiment
0,Robin Monotti,@robinmonotti,"https://pbs.twimg.com/media/F5iLwwcXIAAe64C?format=jpg&name=900x900, https://pbs.twimg.com/media/F5iLwwcXIAAe64C?format=jpg&name=900x900",10000,21000,501,2500000,https://x.com/robinmonotti/status/1700262536921088462,https://x.com/robinmonotti,"PHYSICS NOBEL PRIZE 2022
SIGNS CLIMATE DECLARATION:
THERE IS NO CLIMATE EMERGENCY â CLAUSER & a global network of over 1,609 scientists and professionals has prepared this urgent message:

Natural as well as anthropogenic factors cause warming

The geological archive reveals that",09-08-2023,2023-09-08T21:39:12.000Z,physic nobel prize sign climate declaration climate emergency clauser global network scientist professional prepared urgent message natural well anthropogenic factor cause warming geological archive reveals,POSITIVE
1,Robin Monotti,@robinmonotti,"https://pbs.twimg.com/media/F85HJgLW8AAy66l?format=jpg&name=900x900, https://pbs.twimg.com/media/F85HJgLW8AAy66l?format=jpg&name=900x900",1900,3000,60,153000,https://x.com/robinmonotti/status/1715386742931341745,https://x.com/robinmonotti,"PHYSICS NOBEL PRIZE 2022
SIGNED CLIMATE DECLARATION:
THERE IS NO CLIMATE EMERGENCY â CLAUSER & a global network of over 1,609 scientists and professionals has prepared this urgent message:

Natural as well as anthropogenic factors cause warming

The geological archive reveals",20-10-2023,2023-10-20T15:17:24.000Z,physic nobel prize signed climate declaration climate emergency clauser global network scientist professional prepared urgent message natural well anthropogenic factor cause warming geological archive reveals,POSITIVE
2,UN Environment Programme,@UNEP,"https://pbs.twimg.com/amplify_video_thumb/1158997751687995392/img/2b3rXSrJVoMMgKHi.jpg, https://pbs.twimg.com/amplify_video_thumb/1158997751687995392/img/2b3rXSrJVoMMgKHi.jpg, https://pbs.twimg.com/amplify_video_thumb/1158997751687995392/img/2b3rXSrJVoMMgKHi.jpg",1200,1800,37,150000,https://x.com/UNEP/status/1160415586129780736,https://x.com/UNEP,"Climate change has ripple effects. Some of the most devastating chain reactions to climate change are:
Extreme weather
Loss of biodiversity
Rising sea-levels 
Extreme heat and drought

We need to #ActNow 
#ClimateAction",08-11-2019,2019-08-11T05:00:09.000Z,climate change ripple effect devastating chain reaction climate change extreme weather loss biodiversity rising sealevels extreme heat drought need actnow climateaction,NEGATIVE
3,UN Climate Change,@UNFCCC,"https://pbs.twimg.com/media/D6nwn3cXoAAX1U4.jpg, https://pbs.twimg.com/media/D6nwn3cXoAAX1U4.jpg, https://pbs.twimg.com/media/D6nwn3cXoAAX1U4.jpg",243,227,9,100,https://x.com/UNFCCC/status/1130080661753147392,https://x.com/UNFCCC,"Accelerating #ClimateChange impacts mean that farmers around the world need to adopt ""disaster resilient"" farming practices in order to grow adequate #Food for growing populations http://bit.ly/2Hmc37L 

91% of all disasters between 1998 & 2017 were #climate-related. #GAR2019",19-05-2019,2019-05-19T12:00:00.000Z,accelerating climatechange impact mean farmer around world need adopt disaster resilient farming practice order grow adequate food growing population httpbitlyhmcl disaster climaterelated gar,NEGATIVE
4,Alex Epstein,@AlexEpstein,"https://pbs.twimg.com/media/GIKmEwZbgAAQ207?format=jpg&name=small, https://pbs.twimg.com/media/GIKmEwZbgAAQ207?format=jpg&name=small",119,390,11,29000,https://x.com/AlexEpstein/status/1766156613839401047,https://x.com/AlexEpstein,"It's an irrefutable but little-known fact that as the world has warmed 1Â° C, humans have become safer than ever from climate danger. The rate of climate-related disaster deathsâfrom storms, floods, temperature extremes, wildfires, and droughtâhas fallen 98% in the last century.",03-08-2024,2024-03-08T17:38:44.000Z,irrefutable littleknown fact world warmed c human become safer ever climate danger rate climaterelated disaster deathsfrom storm flood temperature extreme wildfire droughthas fallen last century,NEGATIVE
5,Geospatial World,@geoworldmedia,,145,1,15,219,https://x.com/geoworldmedia/status/1833843869974253707,https://x.com/geoworldmedia,"https://geospatialworld.net/videos/fostering-climate-and-social-resilience/â¦

#GWPrimeLive | In a deep-dive discussion with Dr. @KattumuriRuth, Senior Director Economic, Youth & Sustainable Development Directorate, The @commonwealthsec shares her valuable insights on the intersection between climate change, socio-economic",09-11-2024,2024-09-11T12:23:44.000Z,httpsgeospatialworldnetvideosfosteringclimateandsocialresilience gwprimelive deepdive discussion dr kattumuriruth senior director economic youth sustainable development directorate commonwealthsec share valuable insight intersection climate change socioeconomic,POSITIVE
6,Michael Shellenberger,@shellenberger,"https://pbs.twimg.com/media/EoCZWHzUUAA-iWR?format=jpg&name=small, https://pbs.twimg.com/media/EoCZWHzUUAA-iWR?format=jpg&name=small",172,745,11,1000,https://x.com/shellenberger/status/1333234568225144832,https://x.com/shellenberger,"We are more resilient than ever:

- Deaths from natural disasters declined over 90%

- We produce 25% more food than we need â our largest surpluses in history

And there is no scientific scenario for either of those trends to reverse themselves, even with high levels of warming",30-11-2020,2020-11-30T02:21:06.000Z,resilient ever death natural disaster declined produce food need largest surplus history scientific scenario either trend reverse even high level warming,NEGATIVE
7,"Houman David Hemmati, MD, PhD",@houmanhemmati,"https://pbs.twimg.com/media/GO7hNlya4AA9wOU?format=jpg&name=small, https://pbs.twimg.com/media/GO7hNlya4AA9wOU?format=jpg&name=small",118,317,37,10000,https://x.com/houmanhemmati/status/1796620929063420306,https://x.com/houmanhemmati,"Hey @GavinNewsom: While I have long called for more water storage & applaud any reasonable effort to build it, you quote the secretary who talks about âsevere, climate-fueled droughts.â 2 things:

1. The drought is over. See below. Most reservoirs are full. 

2. Droughts are",31-05-2024,2024-05-31T19:13:03.000Z,hey gavinnewsom long called water storage applaud reasonable effort build quote secretary talk severe climatefueled drought thing drought see reservoir full drought,NEGATIVE
8,UN Climate Change,@UNFCCC,"https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small, https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small",272,262,12,2000,https://x.com/UNFCCC/status/1051566311522922496,https://x.com/UNFCCC,"A report by the @UN Office for Disaster Risk Reduction shows that economic losses from climate-related disasters are soaring. https://bit.ly/2IPD5DM As #ClimateChange increases the frequency & severity of weather extremes, low-income countries are hit hardest & need to prepare.",15-10-2018,2018-10-14T20:12:00.000Z,report un office disaster risk reduction show economic loss climaterelated disaster soaring httpsbitlyipddm climatechange increase frequency severity weather extreme lowincome country hit hardest need prepare,NEGATIVE
9,UN Climate Change,@UNFCCC,"https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small, https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small",224,163,10,167,https://x.com/UNFCCC/status/1050394382497710080,https://x.com/UNFCCC,"6/21. On the âPreamble and Contextâ we heard the following key points from Parties on #LossAndDamage:

The group SUR highlighted that the paper needs to recognise developing countries needs and priorities, including bettering their ability to address #LossAndDamage, whilst the",10-11-2018,2018-10-11T14:35:10.000Z,preamble context heard following key point party lossanddamage group sur highlighted paper need recognise developing country need priority including bettering ability address lossanddamage whilst,NEGATIVE
